train_dataset_size,backbone,case,accuracy
8000,resnet34,4_2,0.9697381842910576
8000,resnet50,4_2,0.962257735464128
10000,resnet18,1,0.9857191431485888
10000,resnet34,1,0.9809588575314518
10000,resnet50,1,0.9853791227473648
10000,resnet18,2,0.9829989799387964
10000,resnet34,2,0.9874192451547092
10000,resnet50,2,0.9829989799387964
10000,resnet18,3,0.9843590615436926
10000,resnet34,3,0.9789187351241074
10000,resnet50,3,0.976538592315539
10000,resnet18,4_1,0.9816388983339
10000,resnet34,4_1,0.9799387963277796
10000,resnet50,4_1,0.9829989799387964
10000,resnet18,4_2,0.9693981638898334
10000,resnet34,4_2,0.9772186331179872
10000,resnet50,4_2,0.9823189391363482
