learning_rate,backbone,case,accuracy
0.002,resnet34,4_2,0.6395783747024821
0.002,resnet50,4_2,0.3257395443726623
0.0025,resnet18,1,0.6375382522951377
0.0025,resnet34,1,0.3291397483849031
0.0025,resnet50,1,0.3257395443726623
0.0025,resnet18,2,0.6286977218633119
0.0025,resnet34,2,0.657259435566134
0.0025,resnet50,2,0.3430805848350901
0.0025,resnet18,3,0.5158109486569195
0.0025,resnet34,3,0.3257395443726623
0.0025,resnet50,3,0.3257395443726623
0.0025,resnet18,4_1,0.6028561713702822
0.0025,resnet34,4_1,0.5528731723903434
0.0025,resnet50,4_1,0.6263175790547433
0.0025,resnet18,4_2,0.3257395443726623
0.0025,resnet34,4_2,0.3257395443726623
0.0025,resnet50,4_2,0.3257395443726623
0.003,resnet18,1,0.4916695001700102
0.003,resnet34,1,0.6545392723563414
0.003,resnet50,1,0.3257395443726623
0.003,resnet18,2,0.6912614756885413
0.003,resnet34,2,0.4610676640598436
0.003,resnet50,2,0.5576334580074804
0.003,resnet18,3,0.467868072084325
0.003,resnet34,3,0.3257395443726623
0.003,resnet50,3,0.3257395443726623
0.003,resnet18,4_1,0.3903434206052363
0.003,resnet34,4_1,0.3257395443726623
0.003,resnet50,4_1,0.3257395443726623
0.003,resnet18,4_2,0.3257395443726623
0.003,resnet34,4_2,0.3257395443726623
0.003,resnet50,4_2,0.3257395443726623
0.0035,resnet18,1,0.634138048282897
0.0035,resnet34,1,0.3311798707922475
0.0035,resnet50,1,0.4093845630737844
0.0035,resnet18,2,0.5348520911254675
0.0035,resnet34,2,0.6419585175110507
0.0035,resnet50,2,0.3430805848350901
0.0035,resnet18,3,0.3587215232913975
0.0035,resnet34,3,0.4835090105406324
0.0035,resnet50,3,0.3257395443726623
0.0035,resnet18,4_1,0.3257395443726623
0.0035,resnet34,4_1,0.5919755185311119
0.0035,resnet50,4_1,0.3257395443726623
0.0035,resnet18,4_2,0.3849030941856511
0.0035,resnet34,4_2,0.3529411764705882
0.0035,resnet50,4_2,0.3321999319959197
0.004,resnet18,1,0.3430805848350901
0.004,resnet34,1,0.3257395443726623
0.004,resnet50,1,0.3257395443726623
0.004,resnet18,2,0.560013600816049
0.004,resnet34,2,0.3430805848350901
0.004,resnet50,2,0.3311798707922475
0.004,resnet18,3,0.3257395443726623
0.004,resnet34,3,0.3257395443726623
0.004,resnet50,3,0.3257395443726623
0.004,resnet18,4_1,0.3893233594015641
0.004,resnet34,4_1,0.3257395443726623
0.004,resnet50,4_1,0.3257395443726623
